original,replacement
Trump,Donald Trump
Johnson,Boris Johnson
Stone,Roger Stone
Pompeo,Mike Pompeo
Biden,Joe Biden
Putin,Vladimir Putin
Booker,Corey Booker
Warren,Elizabeth Warren
Ardern,Jacinda Ardern
Mnuchin,Steve Mnuchin
O'Rourke,Beto O'Rourke
Farage,Nigel Farage
Pelosi,Nancy Pelosi
Trudeau,Justin Trudeau
Sanders,Bernie Sanders
Buttigieg,Pete Buttigieg
Netanyahu,Benjamin Netanyahu
Schiff,Adam Schiff
